Component1	Component2	Component3	Component4	Component5	Component6	Component7	Component8	Component9	Component10
173	-0.01708	-0.03079	-0.00215	-0.01838	-0.02399	-0.02869	0.02381	-0.02071	-0.02759	-0.00546
175	-0.0201	-0.02823	0.00318	-0.01777	-0.02396	-0.03017	0.02051	-0.01775	-0.02648	-9e-04
179	-0.02644	-0.02321	0.0142	-0.01318	-0.02468	-0.02866	0.00941	-0.00901	-0.02319	0.00597
181	-0.02922	-0.0207	0.01919	-0.00993	-0.02428	-0.02597	0.00283	-0.00385	-0.01945	0.0081
183	-0.03276	-0.01787	0.02543	-0.00474	-0.02469	-0.0215	-0.00689	0.00267	-0.01551	0.00821
185	-0.03445	-0.01662	0.02836	-0.00185	-0.02511	-0.01889	-0.01202	0.00571	-0.01376	0.00718
186	-0.03558	-0.01573	0.03034	0.00038	-0.02528	-0.01669	-0.01581	0.00786	-0.01221	0.00587
187	-0.03685	-0.01476	0.03254	0.00311	-0.02558	-0.01396	-0.0203	0.0102	-0.01056	0.00376
189	-0.03925	-0.01282	0.03667	0.00868	-0.02585	-0.00807	-0.0291	0.01456	-0.00686	-0.00113
191	-0.04093	-0.01134	0.03956	0.01294	-0.02581	-0.00332	-0.03553	0.01755	-0.00385	-0.00536
194	-0.04254	-0.01016	0.04237	0.01719	-0.02639	0.0011	-0.04245	0.02077	-0.00138	-0.01064
196	-0.04347	-0.00952	0.04402	0.01976	-0.02688	0.0037	-0.04671	0.02273	-6e-05	-0.01414
198	-0.04373	-0.00925	0.04443	0.02056	-0.02677	0.00469	-0.04776	0.02308	0.00051	-0.0152
200	0.00773	-0.04932	-0.04576	0.01658	-0.01982	0.05594	-0.00298	0.03897	-0.00414	-0.0044
202	0.00739	-0.04891	-0.04484	0.01551	-0.01954	0.05307	-0.00208	0.03601	-0.00433	-0.005
203	0.00708	-0.04844	-0.04386	0.01444	-0.01909	0.05008	-0.00131	0.033	-0.00426	-0.00542
206	0.00485	-0.04649	-0.03932	0.00844	-0.01867	0.03609	0.00429	0.01929	-0.00611	-0.00985
209	0.00139	-0.04362	-0.03261	-9e-05	-0.01843	0.01654	0.01228	0.00093	-0.00935	-0.01546
211	-8e-05	-0.04252	-0.03004	-0.00296	-0.0186	0.01025	0.01489	-0.00407	-0.01078	-0.01656
214	-0.00295	-0.03995	-0.0245	-0.00792	-0.0182	-0.00123	0.01857	-0.01167	-0.01227	-0.01602
215	-0.00506	-0.03869	-0.02131	-0.01056	-0.01926	-0.00696	0.02096	-0.01497	-0.01548	-0.01568
216	-0.00641	-0.03779	-0.01909	-0.01226	-0.01975	-0.01092	0.02233	-0.01726	-0.0173	-0.01517
221	-0.01349	-0.03259	-0.00751	-0.01794	-0.02133	-0.02485	0.02502	-0.02082	-0.02255	-0.00856
223	-0.01653	-0.03029	-0.0024	-0.01834	-0.02187	-0.02783	0.02336	-0.01943	-0.02334	-0.00451
225	-0.01946	-0.02818	0.00243	-0.01797	-0.02264	-0.02961	0.02087	-0.01741	-0.02411	-0.00078
227	-0.0225	-0.02591	0.00757	-0.01635	-0.02326	-0.02972	0.01649	-0.01396	-0.02359	0.00278
229	-0.02687	-0.02207	0.01524	-0.0126	-0.02289	-0.02735	0.00822	-0.00708	-0.0195	0.00761
230	-0.02811	-0.0212	0.01737	-0.01125	-0.02328	-0.02653	0.00546	-0.00521	-0.01894	0.00823
231	-0.0298	-0.0197	0.02034	-0.00913	-0.0231	-0.02467	0.00142	-0.00219	-0.01684	0.00919
234	-0.03328	-0.01711	0.02636	-0.00378	-0.02393	-0.0201	-0.00829	0.00384	-0.01369	0.00841
238	-0.03805	-0.01329	0.03452	0.00623	-0.02451	-0.00985	-0.02425	0.01201	-0.00734	0.00147
239	-0.0393	-0.01225	0.03666	0.00918	-0.02461	-0.00669	-0.02882	0.0142	-0.00539	-0.00118
241	-0.04077	-0.01105	0.03914	0.01285	-0.02476	-0.00272	-0.03436	0.01663	-0.00313	-0.00492
243	-0.04198	-0.01009	0.04121	0.01611	-0.02502	0.00078	-0.03936	0.01876	-0.00124	-0.00888
250	0.00792	-0.0489	-0.04507	0.01652	-0.01875	0.05409	-0.00357	0.0369	-0.0033	-0.00308
251	0.00785	-0.0487	-0.04467	0.01617	-0.01846	0.0529	-0.00341	0.03569	-0.00316	-0.00306
254	0.00701	-0.04806	-0.04312	0.0139	-0.01846	0.04791	-0.00117	0.03072	-0.00392	-0.00511
261	0.00036	-0.04187	-0.0293	-0.0028	-0.01661	0.00883	0.01348	-0.00502	-0.00778	-0.01451
262	-0.00096	-0.04104	-0.0273	-0.00505	-0.01711	0.00438	0.01569	-0.00813	-0.00935	-0.01538
268	-0.00905	-0.03533	-0.01421	-0.01503	-0.01924	-0.01742	0.0235	-0.01908	-0.01742	-0.01213
270	-0.01257	-0.03271	-0.00852	-0.01761	-0.01993	-0.02367	0.02458	-0.02009	-0.01971	-0.00861
275	-0.01927	-0.02772	0.00248	-0.01793	-0.02126	-0.02901	0.02053	-0.01644	-0.02139	1e-05
277	-0.02321	-0.02432	0.00925	-0.01574	-0.02105	-0.02843	0.0148	-0.01127	-0.01901	0.00522
278	-0.02469	-0.02295	0.01184	-0.01446	-0.02077	-0.0275	0.01206	-0.0089	-0.01745	0.00692
282	-0.03052	-0.01854	0.0217	-0.00794	-0.02184	-0.02285	-0.00045	-0.00034	-0.01394	0.00997
283	-0.03199	-0.01746	0.0242	-0.00574	-0.02221	-0.02098	-0.00434	0.00201	-0.01284	0.00973
284	-0.033	-0.01669	0.0259	-0.00399	-0.0224	-0.01933	-0.00726	0.00364	-0.01187	0.00909
285	-0.03422	-0.01561	0.02799	-0.00174	-0.02229	-0.01698	-0.01084	0.00571	-0.01014	0.0083
286	-0.03535	-0.01472	0.02989	0.00063	-0.02248	-0.01457	-0.01454	0.00749	-0.00882	0.00661
290	-0.04002	-0.01117	0.03774	0.01137	-0.02351	-0.00354	-0.03097	0.01471	-0.00315	-0.00304
291	-0.04048	-0.01069	0.03848	0.01261	-0.02333	-0.00205	-0.03258	0.01529	-0.00228	-0.00426
292	-0.04099	-0.01013	0.03927	0.01409	-0.02304	-0.00021	-0.03434	0.01575	-0.00126	-0.00586
293	-0.04173	-0.00967	0.04057	0.01598	-0.02352	0.00162	-0.03752	0.01718	-0.00044	-0.00828
296	-0.04285	-0.00862	0.04237	0.01933	-0.02341	0.00547	-0.04203	0.01861	0.00146	-0.01264
297	-0.04319	-0.00843	0.04297	0.02025	-0.02367	0.00635	-0.04358	0.01928	0.00182	-0.01397
299	0.00809	-0.04892	-0.04518	0.01688	-0.01853	0.05454	-0.00406	0.03731	-0.00302	-0.00245
300	0.00801	-0.0487	-0.04473	0.01648	-0.01822	0.05319	-0.00386	0.03592	-0.00288	-0.00245
301	0.00791	-0.0486	-0.04451	0.01618	-0.01819	0.05251	-0.00358	0.03524	-0.00293	-0.00271
302	0.00785	-0.04837	-0.04407	0.01584	-0.01782	0.05122	-0.00348	0.03392	-0.00269	-0.00256
303	0.00733	-0.04807	-0.04329	0.01454	-0.018	0.04864	-0.0021	0.03139	-0.00325	-0.00394
306	0.00528	-0.04514	-0.03722	0.00794	-0.01543	0.03084	0.00271	0.01414	-0.00272	-0.00661
308	0.00325	-0.04332	-0.03313	0.00272	-0.01498	0.01889	0.00743	0.00307	-0.00394	-0.01005
309	0.00221	-0.04262	-0.0315	0.00048	-0.0152	0.0146	0.00964	-0.00037	-0.00473	-0.01174
310	0.00138	-0.04213	-0.03028	-0.00124	-0.01553	0.01121	0.01145	-0.00328	-0.00572	-0.01306
311	0.00052	-0.04136	-0.02867	-0.00297	-0.01538	0.00756	0.01287	-0.00581	-0.00594	-0.01354
312	-0.00055	-0.04061	-0.02696	-0.00482	-0.01562	0.00391	0.01457	-0.0082	-0.00691	-0.0141
313	-0.00178	-0.03966	-0.02489	-0.00686	-0.01573	-0.00031	0.01631	-0.01082	-0.00776	-0.0143
314	-0.0023	-0.03931	-0.02407	-0.00764	-0.01584	-0.0019	0.017	-0.01177	-0.0082	-0.01431
315	-0.00362	-0.03818	-0.02171	-0.00954	-0.01577	-0.00605	0.01835	-0.01388	-0.00881	-0.01368
316	-0.005	-0.03741	-0.0198	-0.01121	-0.01652	-0.00926	0.01997	-0.01547	-0.01071	-0.01357
317	-0.00649	-0.03635	-0.01746	-0.01278	-0.0169	-0.01257	0.02112	-0.01665	-0.01203	-0.01259
318	-0.0085	-0.03495	-0.01434	-0.01474	-0.01747	-0.01678	0.02251	-0.01801	-0.01384	-0.0112
320	-0.01209	-0.0323	-0.00865	-0.01752	-0.0182	-0.0231	0.02394	-0.01905	-0.01626	-0.0078
321	-0.01284	-0.03173	-0.0074	-0.01788	-0.01835	-0.0242	0.02389	-0.01903	-0.01663	-0.0069
323	-0.01569	-0.02957	-0.0028	-0.01851	-0.0188	-0.02693	0.02291	-0.0178	-0.01749	-0.00325
324	-0.01705	-0.02835	-0.00044	-0.01825	-0.01863	-0.02742	0.02152	-0.01635	-0.01679	-0.00115
326	-0.02112	-0.02497	0.00626	-0.01684	-0.01866	-0.02772	0.01717	-0.01201	-0.01563	0.0043
329	-0.0263	-0.02089	0.01486	-0.01303	-0.01922	-0.02585	0.00893	-0.00547	-0.01362	0.00963
331	-0.02911	-0.01872	0.01949	-0.00969	-0.0196	-0.02314	0.00304	-0.00159	-0.01197	0.01088
332	-0.0302	-0.01781	0.02131	-0.00817	-0.0196	-0.02172	5e-04	5e-05	-0.01095	0.01109
334	-0.03253	-0.01626	0.02517	-0.00461	-0.02053	-0.01881	-0.0056	0.00336	-0.00983	0.0103
335	-0.03395	-0.01522	0.02751	-0.00195	-0.0209	-0.01628	-0.00976	0.00537	-0.0087	0.00887
337	-0.03612	-0.01354	0.03112	0.00265	-0.02126	-0.01159	-0.01674	0.00854	-0.0063	0.00554
339	-0.03859	-0.01137	0.03518	0.0085	-0.02112	-0.00511	-0.02501	0.01194	-0.00273	0.00057
340	-0.03983	-0.01034	0.03714	0.01164	-0.02119	-0.00169	-0.02924	0.01325	-0.00122	-0.00265
341	-0.04028	-0.0099	0.03782	0.0129	-0.02108	-0.00024	-0.03066	0.01345	-0.00068	-0.00399
342	-0.04074	-0.00945	0.03855	0.01415	-0.02096	0.00124	-0.03229	0.01398	0.00011	-0.00534
343	-0.04131	-0.00912	0.03953	0.01562	-0.02134	0.00263	-0.03463	0.01487	0.00061	-0.0072
346	-0.04245	-0.00791	0.04126	0.01919	-0.02092	0.00691	-0.03888	0.01573	0.00255	-0.01182
347	-0.04272	-0.00738	0.04157	0.0203	-0.02027	0.0086	-0.0396	0.01542	0.00342	-0.01319
348	-0.0428	-0.00741	0.04173	0.02045	-0.02049	0.00862	-0.04005	0.01569	0.00337	-0.01346
350	0.00854	-0.04782	-0.04334	0.0166	-0.0159	0.04972	-0.00539	0.03208	-0.00121	0.00051
351	0.00844	-0.04765	-0.043	0.01623	-0.01573	0.04869	-0.00514	0.03104	-0.00117	0.00035
352	0.0084	-0.04739	-0.04253	0.0159	-0.0153	0.04735	-0.00507	0.0297	-0.00086	0.00051
353	0.00796	-0.04704	-0.04173	0.0147	-0.01521	0.0448	-0.00397	0.02726	-0.00091	-0.00052
354	0.00734	-0.04639	-0.04033	0.01287	-0.01486	0.04054	-0.00242	0.02321	-0.00086	-0.00184
355	0.00679	-0.04539	-0.03835	0.01088	-0.01376	0.03479	-0.00118	0.01762	-0.00035	-0.00235
358	0.00394	-0.04254	-0.03225	0.00319	-0.01249	0.01729	0.00538	0.00183	-0.00072	-0.00736
359	0.00296	-0.04187	-0.03066	0.00107	-0.01268	0.01298	0.00747	-0.00181	-0.0016	-0.00881
362	-3e-05	-0.04005	-0.02645	-0.00453	-0.01371	0.00303	0.01313	-0.00867	-0.00399	-0.0124
364	-0.00202	-0.03875	-0.02348	-0.00764	-0.01434	-0.00286	0.01606	-0.01211	-0.00589	-0.0131
365	-0.00353	-0.03793	-0.02147	-0.00959	-0.01516	-0.00639	0.01803	-0.0139	-0.0078	-0.01325
366	-0.0047	-0.03664	-0.01917	-0.01128	-0.01451	-0.00979	0.01895	-0.0149	-0.00717	-0.0122
369	-0.00968	-0.03275	-0.01125	-0.01617	-0.01498	-0.0197	0.02214	-0.01708	-0.00959	-0.00803
371	-0.01245	-0.03091	-0.00714	-0.01785	-0.01593	-0.02365	0.02297	-0.01739	-0.01193	-0.00545
372	-0.01386	-0.02985	-0.00487	-0.01832	-0.01617	-0.02524	0.0227	-0.01701	-0.01248	-0.00374
373	-0.01556	-0.0288	-0.00246	-0.01856	-0.01694	-0.0264	0.02239	-0.01638	-0.01397	-0.00198
375	-0.01891	-0.02588	0.00315	-0.01781	-0.0167	-0.02719	0.01919	-0.01292	-0.01281	0.00286
380	-0.02748	-0.0191	0.017	-0.01152	-0.01744	-0.02354	0.00654	-0.00289	-0.01001	0.01134
381	-0.02858	-0.01833	0.0188	-0.0102	-0.01777	-0.02256	0.00418	-0.00143	-0.0096	0.01168
383	-0.03119	-0.01597	0.02304	-0.00632	-0.0174	-0.01854	-0.00172	0.00218	-0.00702	0.01193
384	-0.03201	-0.01519	0.02436	-0.00486	-0.01719	-0.0169	-0.0038	0.0033	-0.00598	0.01156
388	-0.03718	-0.01171	0.0327	0.00567	-0.01915	-0.00689	-0.01951	0.0095	-0.0026	0.00378
389	-0.03844	-0.01052	0.03468	0.00886	-0.0189	-0.00324	-0.02355	0.01074	-0.00084	0.00086
393	-0.04099	-0.00831	0.0386	0.01573	-0.0189	0.00434	-0.03215	0.01261	0.00199	-0.00676
395	-0.04172	-0.00719	0.03953	0.01838	-0.01785	0.00798	-0.03428	0.01218	0.00357	-0.01002
397	-0.04212	-0.0062	0.03985	0.02026	-0.01646	0.01096	-0.03495	0.01103	0.00487	-0.01229
399	0.00913	-0.0472	-0.04247	0.01714	-0.01404	0.04781	-0.00704	0.02988	6e-05	0.00328
403	0.00841	-0.0463	-0.04058	0.01481	-0.0133	0.042	-0.00524	0.02423	0.00044	0.00184
407	0.00542	-0.04259	-0.03296	0.00571	-0.01048	0.0198	0.00173	0.00367	0.0018	-0.00336
409	0.0035	-0.04121	-0.02996	0.00137	-0.0107	0.0118	0.00593	-0.00252	0.00103	-0.00699
411	0.00165	-0.04017	-0.02751	-0.00222	-0.01148	0.00572	0.0097	-0.00681	-0.00049	-0.00986
412	0.00066	-0.0393	-0.02579	-0.00411	-0.01133	0.00216	0.01127	-0.00886	-0.00057	-0.01046
414	-0.00142	-0.03832	-0.0233	-0.00726	-0.0126	-0.00298	0.01472	-0.01187	-0.00301	-0.01198
415	-0.00293	-0.03694	-0.02074	-0.0095	-0.01232	-0.00706	0.01638	-0.01329	-0.003	-0.01144
416	-0.00438	-0.03601	-0.01866	-0.01127	-0.01281	-0.01031	0.01798	-0.01457	-0.0043	-0.01111
418	-0.00749	-0.03372	-0.01397	-0.01451	-0.01335	-0.01637	0.02044	-0.01597	-0.00622	-0.00906
421	-0.01167	-0.03022	-0.00726	-0.01778	-0.01326	-0.023	0.02196	-0.01591	-0.00705	-0.00446
422	-0.01319	-0.02848	-0.00464	-0.01849	-0.01229	-0.02419	0.02172	-0.0144	-0.00565	-0.00181
427	-0.02193	-0.02222	0.0086	-0.01643	-0.01432	-0.02583	0.01516	-0.0076	-0.0078	0.00837
428	-0.02377	-0.02062	0.01164	-0.01509	-0.01416	-0.02491	0.0124	-0.00519	-0.00667	0.01049
429	-0.0258	-0.0195	0.01453	-0.01327	-0.01528	-0.02385	0.00965	-0.00386	-0.00775	0.01153
430	-0.027	-0.01839	0.01655	-0.01192	-0.01506	-0.02261	0.00727	-0.00205	-0.00654	0.01245
435	-0.03281	-0.01358	0.02562	-0.0029	-0.01519	-0.01351	-0.0056	0.00449	-0.00284	0.01134
436	-0.03426	-0.01281	0.02786	-0.00014	-0.01611	-0.01117	-0.00965	0.00578	-0.00261	0.00934
442	-0.04024	-0.00822	0.03716	0.01424	-0.01721	0.00379	-0.02857	0.01083	0.00239	-0.00449
443	-0.04078	-0.00759	0.03791	0.01598	-0.01686	0.00594	-0.03022	0.0107	0.00314	-0.00657
444	-0.0413	-0.00696	0.03863	0.01771	-0.0165	0.0081	-0.03194	0.01069	0.00398	-0.0088
447	-0.04212	-0.0062	0.03985	0.02026	-0.01646	0.01096	-0.03495	0.01103	0.00487	-0.01229
456	0.00688	-0.04305	-0.03433	0.00877	-0.00939	0.02426	-0.00185	0.00739	0.00302	0.00049
457	0.00601	-0.04203	-0.03234	0.0062	-0.00873	0.01874	0.00017	0.00279	0.00363	-0.00147
461	0.00226	-0.0392	-0.02646	-0.0021	-0.00891	0.00398	0.00795	-0.00764	0.0029	-0.00802
463	3e-05	-0.03771	-0.02333	-0.00595	-0.0094	-0.00241	0.01164	-0.01107	0.00186	-0.00972
464	-7e-04	-0.03722	-0.02232	-0.00712	-0.00957	-0.00423	0.01277	-0.01184	0.00151	-0.0101
469	-0.00865	-0.03122	-0.01067	-0.01618	-0.0104	-0.01947	0.02008	-0.01477	-0.00159	-0.00594
472	-0.01312	-0.02802	-0.00437	-0.01858	-0.01128	-0.02408	0.0214	-0.01367	-0.00389	-0.00118
